,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Maniitsoq,GL,65.4167,-52.9,39.83,68,32,4.16,scattered clouds
80,Jiayuguan,CN,39.8167,98.3,46.38,31,98,9.28,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,78.71,71,56,2.64,broken clouds
82,Bengkulu,ID,-3.8004,102.2655,76.08,91,86,5.3,overcast clouds
83,Port Lincoln,AU,-34.7333,135.8667,53.38,60,6,24.16,clear sky
84,Samarai,PG,-10.6167,150.6667,79.68,83,97,4.54,overcast clouds
85,Tayturka,RU,52.8692,103.4608,33.93,78,94,2.33,overcast clouds
86,Sao Filipe,CV,14.8961,-24.4956,79.95,77,66,6.71,broken clouds
87,Pacific Grove,US,36.6177,-121.9166,83.57,62,0,1.99,clear sky
88,Marsa Matruh,EG,31.3525,27.2453,75.4,53,40,11.5,scattered clouds
89,Tasiilaq,GL,65.6145,-37.6368,31.8,53,0,7.54,clear sky
90,Riviere-Au-Renard,CA,48.9957,-64.3971,50.29,93,100,10.36,overcast clouds
91,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,12.66,few clouds
92,Neyvo-Shaytanskiy,RU,57.7286,61.2496,31.69,78,100,6.8,overcast clouds
93,Rio Gallegos,AR,-51.6226,-69.2181,59.05,26,40,26.46,scattered clouds
94,Atuona,PF,-9.8,-139.0333,77.47,72,70,17.45,broken clouds
95,Kudahuvadhoo,MV,2.6708,72.8944,83.16,76,6,15.95,clear sky
96,Clyde River,CA,70.4692,-68.5914,39.43,87,90,5.75,overcast clouds
97,Bratsk,RU,56.1325,101.6142,32.49,85,100,4.32,overcast clouds
98,Nelson Bay,AU,-32.7167,152.15,64.69,82,60,8.88,broken clouds
99,Kathmandu,NP,27.7167,85.3167,68.22,94,75,5.75,broken clouds
100,Kysyl-Syr,RU,63.8986,122.7617,27.23,73,17,2.68,few clouds
101,Butaritari,KI,3.0707,172.7902,82.62,65,96,15.08,overcast clouds
102,Carnarvon,AU,-24.8667,113.6333,64.47,77,1,16.11,clear sky
103,Katsuura,JP,35.1333,140.3,70.11,80,2,7.45,clear sky
104,Sola,VU,-13.8833,167.55,79.21,78,39,5.1,scattered clouds
105,Ulladulla,AU,-35.35,150.4667,61.7,91,61,5.17,broken clouds
106,Hamilton,US,39.1834,-84.5333,71.98,92,90,1.01,heavy intensity rain
107,Paamiut,GL,61.994,-49.6678,40.98,64,4,9.08,clear sky
108,East London,ZA,-33.0153,27.9116,59.94,67,20,11.5,light rain
109,Qurayyat,SA,31.3318,37.3428,78.98,38,0,11.5,clear sky
110,Freeport,US,40.6576,-73.5832,80.83,60,30,5.01,scattered clouds
111,Dukat,RU,62.55,155.55,24.01,90,100,12.46,overcast clouds
112,Progreso,MX,21.2833,-89.6667,88.11,59,46,8.9,scattered clouds
113,Skibbereen,IE,51.55,-9.2667,53.4,79,79,18.34,broken clouds
114,Tiarei,PF,-17.5333,-149.3333,75.22,76,5,8.12,light rain
115,Vardo,NO,70.3705,31.1107,50.2,76,0,16.11,clear sky
116,Hobart,AU,-42.8794,147.3294,55.11,97,90,0.0,overcast clouds
117,Beringovskiy,RU,63.05,179.3167,37.96,99,100,1.1,overcast clouds
118,Pascagoula,US,30.3658,-88.5561,79.02,90,90,8.05,overcast clouds
119,Fortuna,US,40.5982,-124.1573,52.14,49,53,3.83,broken clouds
120,Vandra,EE,58.6481,25.0361,54.18,73,62,11.5,broken clouds
121,Albany,US,42.6001,-73.9662,67.32,86,100,0.81,overcast clouds
122,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,72,90,3.58,overcast clouds
123,Upernavik,GL,72.7868,-56.1549,33.49,61,100,2.42,overcast clouds
124,Norman Wells,CA,65.282,-126.8329,35.64,93,90,16.11,moderate rain
125,Saint George,US,37.1041,-113.5841,84.67,21,1,1.99,clear sky
126,Sarankhola,BD,22.3082,89.7897,78.58,94,100,5.39,overcast clouds
127,Marsh Harbour,BS,26.5412,-77.0636,81.07,59,3,11.59,clear sky
128,Dunmore Town,BS,25.5,-76.65,81.5,68,6,15.14,clear sky
129,Chulman,RU,56.8479,124.9104,26.94,92,100,2.98,overcast clouds
130,Point Pleasant,US,40.0832,-74.0682,81.09,71,1,1.99,clear sky
