City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Albany,US,2021-09-27 23:51:27,42.6001,-73.9662,68.74,84,97,5.61
68,Tasiilaq,GL,2021-09-27 23:51:40,65.6145,-37.6368,26.37,61,1,6.89
69,Bethel,US,2021-09-27 23:51:41,41.3712,-73.414,73.76,65,75,9.22
70,Airai,TL,2021-09-27 23:51:41,-8.9266,125.4092,73.27,40,25,2.82
71,Tuktoyaktuk,CA,2021-09-27 23:51:42,69.4541,-133.0374,35.6,64,40,9.22
72,Tura,IN,2021-09-27 23:47:58,25.5198,90.2201,73.44,87,70,2.66
73,Magdagachi,RU,2021-09-27 23:51:42,53.45,125.8,46.67,62,56,4.14
74,Norman Wells,CA,2021-09-27 23:51:43,65.282,-126.8329,33.84,86,90,0.0
75,Bengkulu,ID,2021-09-27 23:51:43,-3.8004,102.2655,76.59,89,83,2.46
76,Port Elizabeth,ZA,2021-09-27 23:46:49,-33.918,25.5701,62.1,82,0,17.27
77,Unity,CA,2021-09-27 23:51:44,52.4501,-109.1682,79.25,26,8,10.89
78,Mana,GF,2021-09-27 23:51:45,5.6592,-53.7767,80.44,81,11,10.2
79,Kawalu,ID,2021-09-27 23:51:45,-7.3817,108.2082,72.57,90,99,2.86
80,Vilyuysk,RU,2021-09-27 23:51:46,63.7553,121.6247,34.07,82,27,10.13
81,Pevek,RU,2021-09-27 23:47:32,69.7008,170.3133,23.85,72,100,4.29
82,Krasnoselkup,RU,2021-09-27 23:51:46,65.7,82.4667,30.67,83,38,7.81
83,Arraial Do Cabo,BR,2021-09-27 23:51:47,-22.9661,-42.0278,71.56,88,0,13.8
84,Ponta Do Sol,PT,2021-09-27 23:51:47,32.6667,-17.1,72.23,70,25,4.47
85,Coihaique,CL,2021-09-27 23:51:48,-45.5752,-72.0662,42.75,70,75,3.44
86,Castro,BR,2021-09-27 23:51:48,-24.7911,-50.0119,67.19,67,22,5.37
87,Tchollire,CM,2021-09-27 23:51:48,8.4022,14.1698,71.37,94,100,3.0
88,Atuona,PF,2021-09-27 23:51:49,-9.8,-139.0333,78.06,72,11,19.33
89,Nosy Varika,MG,2021-09-27 23:51:49,-20.5833,48.5333,65.77,88,22,4.7
90,Claremorris,IE,2021-09-27 23:51:50,53.7167,-9.0,54.36,93,97,8.12
91,Victoria,HK,2021-09-27 23:47:48,22.2855,114.1577,85.24,77,3,1.99
92,Mahebourg,MU,2021-09-27 23:47:12,-20.4081,57.7,70.25,68,40,12.66
93,Talnakh,RU,2021-09-27 23:51:51,69.4865,88.3972,30.76,60,74,2.64
94,Lavrentiya,RU,2021-09-27 23:51:51,65.5833,-171.0,31.55,78,24,1.59
95,Lagoa,PT,2021-09-27 23:51:52,39.05,-27.9833,68.29,80,94,19.19
96,Kembe,CF,2021-09-27 23:51:52,4.6228,21.8865,68.76,98,77,0.72
97,Ilulissat,GL,2021-09-27 23:51:53,69.2167,-51.1,16.65,63,0,9.66
98,Sao Filipe,CV,2021-09-27 23:51:53,14.8961,-24.4956,79.79,79,9,6.44
99,Coquimbo,CL,2021-09-27 23:47:26,-29.9533,-71.3436,56.93,88,0,11.5
100,Kolobrzeg,PL,2021-09-27 23:51:54,54.1757,15.5834,57.96,100,99,15.64
101,Makat,KZ,2021-09-27 23:51:55,47.6469,53.3463,54.82,77,96,14.9
102,Lukovetskiy,RU,2021-09-27 23:51:55,64.2956,41.9211,37.38,95,73,2.98
103,Waddan,LY,2021-09-27 23:51:56,29.1614,16.139,72.59,42,0,8.01
104,Guanica,PR,2021-09-27 23:51:56,17.9716,-66.908,82.26,88,71,3.27
105,New Norfolk,AU,2021-09-27 23:51:57,-42.7826,147.0587,58.91,63,92,1.01
106,Abramovka,RU,2021-09-27 23:51:57,51.1886,41.0202,47.37,90,100,6.73
107,Zhezkazgan,KZ,2021-09-27 23:46:58,47.8043,67.7144,54.1,80,81,12.15
108,Iqaluit,CA,2021-09-27 23:51:58,63.7506,-68.5145,33.53,86,75,5.99
109,Fare,PF,2021-09-27 23:51:58,-16.7,-151.0167,79.2,75,1,15.23
110,Ust-Koksa,RU,2021-09-27 23:51:59,50.2696,85.6108,32.38,94,100,0.2
111,Lompoc,US,2021-09-27 23:48:29,34.6391,-120.4579,72.21,81,90,14.97
112,Presidencia Roque Saenz Pena,AR,2021-09-27 23:52:00,-26.7852,-60.4388,84.25,36,8,9.37
113,Souillac,MU,2021-09-27 23:52:00,-20.5167,57.5167,70.36,68,40,12.66
114,Talara,PE,2021-09-27 23:52:01,-4.5772,-81.2719,66.96,77,0,12.66
115,Rock Springs,US,2021-09-27 23:52:01,41.5875,-109.2029,79.23,13,1,1.01
116,Benghazi,LY,2021-09-27 23:52:02,32.1167,20.0667,75.09,70,44,6.96
117,Hami,CN,2021-09-27 23:52:02,42.8,93.45,62.38,21,1,2.13
118,Karasburg,NA,2021-09-27 23:52:03,-28.0167,18.75,51.08,79,0,6.69
119,Lebu,CL,2021-09-27 23:52:03,-37.6167,-73.65,48.83,81,49,15.88
120,Payson,US,2021-09-27 23:52:04,40.0444,-111.7321,87.55,22,1,1.01
121,Taltal,CL,2021-09-27 23:49:07,-25.4,-70.4833,61.18,75,23,5.59
122,Asau,RO,2021-09-27 23:52:04,46.4333,26.4,57.76,76,88,2.39
123,Avarua,CK,2021-09-27 23:52:05,-21.2078,-159.775,80.65,74,75,10.36
124,Emba,KZ,2021-09-27 23:52:05,48.8264,58.1442,50.99,64,77,11.01
125,Ipixuna,BR,2021-09-27 23:52:06,-1.7625,-48.8043,75.15,88,43,4.52
126,Thai Binh,VN,2021-09-27 23:52:06,20.45,106.3333,80.6,87,24,3.06
127,Hamilton,US,2021-09-27 23:49:53,39.1834,-84.5333,78.75,61,1,14.97
128,Cherskiy,RU,2021-09-27 23:48:51,68.75,161.3,21.54,93,100,14.92
129,Barcelona,ES,2021-09-27 23:49:02,41.3888,2.159,73.72,84,20,3.44
130,Provost,CA,2021-09-27 23:52:08,52.3501,-110.2683,81.82,24,2,10.16
131,Adrar,MR,2021-09-27 23:52:08,20.5022,-10.0711,89.78,11,0,1.66
132,Kieta,PG,2021-09-27 23:52:09,-6.2167,155.6333,84.43,70,76,3.74
133,La Macarena,CO,2021-09-27 23:52:09,2.1837,-73.7849,77.65,74,94,0.63
134,Calama,CL,2021-09-27 23:52:10,-22.4667,-68.9333,70.29,8,0,26.46
135,Jimma,ET,2021-09-27 23:52:10,7.6667,36.8333,57.09,94,100,1.25
136,Richards Bay,ZA,2021-09-27 23:52:11,-28.783,32.0377,69.21,83,66,15.37
137,Port-Gentil,GA,2021-09-27 23:52:11,-0.7193,8.7815,77.47,83,82,8.72
138,Livingston,GB,2021-09-27 23:52:12,55.9029,-3.5226,48.67,82,0,6.91
139,Gat,IL,2021-09-27 23:52:02,31.61,34.7642,72.39,65,52,7.83
140,Las Vegas,US,2021-09-27 23:52:12,36.175,-115.1372,93.54,31,1,5.75
141,Kungurtug,RU,2021-09-27 23:52:13,50.5994,97.5228,14.94,91,71,1.99
142,Luebo,CD,2021-09-27 23:52:13,-5.35,21.4167,68.86,96,84,0.76
143,Fortuna,US,2021-09-27 23:52:14,40.5982,-124.1573,60.42,75,75,3.44
144,North Bend,US,2021-09-27 23:52:15,43.4065,-124.2243,58.91,97,90,10.36
145,Delta Del Tigre,UY,2021-09-27 23:52:15,-34.7633,-56.3853,57.31,88,100,15.08
146,San Patricio,US,2021-09-27 23:49:50,28.017,-97.5169,88.21,67,73,13.29
147,Tambulig,PH,2021-09-27 23:52:16,8.0702,123.5348,82.36,80,69,1.7
148,Saiha,IN,2021-09-27 23:52:16,22.4833,92.9667,68.9,92,98,2.89
149,Asfi,MA,2021-09-27 23:47:53,32.2994,-9.2372,67.59,83,18,12.62
150,Besikduzu,TR,2021-09-27 23:52:17,41.052,39.2284,66.09,82,67,4.65
151,Mabaruma,GY,2021-09-27 23:52:17,8.2,-59.7833,76.8,86,23,3.76
152,Makushino,RU,2021-09-27 23:52:18,55.2103,67.2442,38.61,75,99,19.28
153,Dikson,RU,2021-09-27 23:52:18,73.5069,80.5464,34.93,85,48,20.6
154,Adre,TD,2021-09-27 23:52:19,13.4667,22.2,75.04,71,90,2.71
155,Faya,SA,2021-09-27 23:49:39,18.3851,42.4509,62.71,23,70,5.14
156,Koungheul,SN,2021-09-27 23:52:19,13.9833,-14.8,71.13,87,52,23.89
157,Wanaka,NZ,2021-09-27 23:52:20,-44.7,169.15,52.11,43,9,3.0
