City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,472,Vila Velha,BR,-20.3297,-40.2925,80.94,78.00%,40.00%,23.02,scattered clouds
476,476,Morada Nova,BR,-5.1067,-38.3725,84.52,53.00%,66.00%,12.88,broken clouds
477,477,Dong Hoi,VN,17.4833,106.6,77.23,89.00%,31.00%,5.26,scattered clouds
481,481,Namatanai,PG,-3.6667,152.4333,79.56,81.00%,100.00%,3.24,light rain
482,482,Sibolga,ID,1.7427,98.7792,75.15,84.00%,72.00%,3.51,broken clouds
502,502,Piacabucu,BR,-10.4056,-36.4344,75.76,77.00%,0.00%,7.38,clear sky
503,503,Phalodi,IN,27.1333,72.3667,85.3,60.00%,22.00%,13.73,few clouds
504,504,Loudi,CN,27.7344,111.9944,78.69,66.00%,23.00%,2.68,few clouds
507,507,Ailigandi,PA,9.2333,-78.0167,83.37,79.00%,99.00%,10.33,overcast clouds
510,510,Aripuana,BR,-9.1667,-60.6333,88.14,50.00%,98.00%,4.41,overcast clouds
517,517,Alyangula,AU,-13.8483,136.4192,76.87,94.00%,54.00%,5.75,broken clouds
520,520,Lakatoro,VU,-16.0999,167.4164,81.3,78.00%,21.00%,4.32,few clouds
524,524,Lagos,NG,6.5833,3.75,80.92,90.00%,29.00%,2.62,scattered clouds
526,526,Chalmette,US,29.9427,-89.9634,86.13,68.00%,75.00%,1.99,thunderstorm
532,532,Pabbi,PK,34.0106,71.7989,75.88,66.00%,1.00%,0.67,clear sky
533,533,Yuli,NG,9.6989,10.2744,80.46,70.00%,40.00%,2.98,scattered clouds
534,534,Gizo,SB,-8.103,156.8419,82.22,76.00%,100.00%,7.45,light rain
535,535,Elat,IL,29.5581,34.9482,80.44,50.00%,0.00%,18.41,clear sky
536,536,Harper,LR,4.375,-7.7169,77.68,88.00%,16.00%,6.24,light rain
538,538,Cockburn Town,TC,21.4612,-71.1419,84.16,65.00%,75.00%,13.8,broken clouds
540,540,Palu,ID,-0.8917,119.8707,75.15,91.00%,100.00%,2.77,overcast clouds
542,542,Tual,ID,-5.6667,132.75,81.03,72.00%,16.00%,6.58,few clouds
547,547,Tatawin,TN,32.9297,10.4518,85.08,45.00%,3.00%,8.63,clear sky
551,551,Tessalit,ML,20.1986,1.0114,88.45,12.00%,9.00%,11.25,clear sky
560,560,Nikki,BJ,9.9401,3.2108,76.77,77.00%,12.00%,3.85,few clouds
562,562,Tayoltita,MX,24.0833,-105.9333,82.26,58.00%,96.00%,3.36,overcast clouds
563,563,Sherwood,US,34.8151,-92.2243,82.2,51.00%,75.00%,1.01,broken clouds
566,566,Kloulklubed,PW,7.0419,134.2556,79.3,75.00%,100.00%,11.27,moderate rain
567,567,Thinadhoo,MV,0.5333,72.9333,83.61,75.00%,14.00%,19.3,few clouds
569,569,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,81.5,81.00%,100.00%,1.54,overcast clouds
572,572,Port Said,EG,31.2565,32.2841,75.18,78.00%,40.00%,11.5,scattered clouds
574,574,Kailua,US,21.4022,-157.7394,84.18,69.00%,40.00%,10.36,scattered clouds
576,576,Villa Bruzual,VE,9.3328,-69.1208,83.28,79.00%,100.00%,0.89,overcast clouds
577,577,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,84.00%,53.00%,15.93,broken clouds
578,578,San Felipe,VE,10.3399,-68.7425,80.46,84.00%,91.00%,5.84,overcast clouds
579,579,Hope,US,33.6671,-93.5916,86.07,45.00%,82.00%,1.68,broken clouds
580,580,Odweyne,SO,9.4092,45.064,77.29,59.00%,99.00%,9.95,light rain
582,582,Cefalu,IT,38.0386,14.0229,76.53,67.00%,32.00%,4.0,scattered clouds
591,591,Santiago Del Estero,AR,-27.7951,-64.2615,75.81,13.00%,0.00%,9.19,clear sky
596,596,Daru,PG,-9.0763,143.2092,78.6,82.00%,60.00%,8.79,broken clouds
601,601,Auki,SB,-8.7676,160.7034,80.11,81.00%,81.00%,4.5,broken clouds
607,607,Pandan,PH,14.0453,124.1694,79.34,87.00%,100.00%,6.64,moderate rain
609,609,Pismo Beach,US,35.1428,-120.6413,89.17,42.00%,1.00%,1.99,clear sky
612,612,Denpasar,ID,-8.65,115.2167,76.71,88.00%,40.00%,4.61,scattered clouds
615,615,Winnemucca,US,40.973,-117.7357,80.65,9.00%,1.00%,3.44,clear sky
616,616,Xiongzhou,CN,25.1167,114.3,75.67,72.00%,0.00%,0.6,clear sky
620,620,Funadhoo,MV,6.15,73.2667,81.36,81.00%,100.00%,19.6,light rain
625,625,Takoradi,GH,4.8845,-1.7554,77.94,89.00%,13.00%,6.26,few clouds
626,626,Dourbali,TD,11.8091,15.8632,80.33,70.00%,78.00%,1.7,broken clouds
627,627,Kannur,IN,11.8675,75.3576,76.57,93.00%,84.00%,1.66,broken clouds
631,631,Awbari,LY,26.5921,12.7805,78.85,25.00%,0.00%,7.2,clear sky
639,639,Biak,ID,-0.9131,122.8766,75.11,77.00%,100.00%,2.1,overcast clouds
640,640,Madison,US,34.7334,-86.5667,81.1,68.00%,20.00%,1.01,few clouds
645,645,Oriximina,BR,-1.7656,-55.8661,86.47,57.00%,99.00%,4.12,overcast clouds
646,646,Camapua,BR,-19.5314,-54.0439,80.69,65.00%,79.00%,4.27,light rain
647,647,Aswan,EG,24.0934,32.907,83.5,28.00%,0.00%,8.05,clear sky
653,653,Road Town,VG,18.4167,-64.6167,87.89,62.00%,20.00%,16.11,few clouds
665,665,Eyl,SO,7.9803,49.8164,77.63,87.00%,15.00%,17.74,few clouds
666,666,Dhidhdhoo,MV,6.8833,73.1,80.98,81.00%,100.00%,19.66,heavy intensity rain
668,668,Coari,BR,-4.085,-63.1414,83.52,75.00%,94.00%,3.56,overcast clouds
672,672,Kollam,IN,8.8833,76.6,78.67,86.00%,100.00%,1.88,overcast clouds
