,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Labuhan,ID,78.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
242,Biak,ID,75.38,broken clouds,-0.9131,122.8766,Penginapan Kim
253,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
255,Nicolas Bravo,MX,88.68,broken clouds,18.45,-88.9167,
258,Luganville,VU,76.64,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
265,Eha Amufu,NG,77.04,broken clouds,6.6592,7.7596,Eden Resort
266,Itarema,BR,85.93,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
268,Marsh Harbour,BS,81.18,clear sky,26.5412,-77.0636,Abaco Beach Resort
269,Edd,ER,86.88,broken clouds,13.9297,41.6925,
270,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
271,Pathein,MM,78.01,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
274,Sabang,ID,81.81,scattered clouds,5.8933,95.3214,Hotel Citra
277,Iranduba,BR,88.12,light rain,-3.2847,-60.1861,Evolução Ecolodge
279,Chakulia,IN,78.53,moderate rain,22.4833,86.7167,BKD
280,Kantang,TH,78.46,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
283,Paita,PE,75.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
293,Banjar,ID,76.91,broken clouds,-8.19,114.9675,The Hamsa Resort
295,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
297,Hueytown,US,77.72,overcast clouds,33.4512,-86.9967,Saddleridge Mobile Home Community | Notting Hill Apartments
302,Ponta Do Sol,PT,79.0,broken clouds,32.6667,-17.1,Hotel do Campo
306,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
310,Brandon,US,89.85,scattered clouds,27.9378,-82.2859,Brandon Motor Lodge
311,Balaka,MW,85.86,broken clouds,-14.9793,34.9558,Sun Village Lodge
315,Humberto De Campos,BR,89.24,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
318,Gizo,SB,81.7,broken clouds,-8.103,156.8419,Imagination Island
321,Yuli,NG,81.77,clear sky,9.6989,10.2744,
323,Vila Velha,BR,85.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
324,Camacha,PT,75.52,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
327,Kapoeta,SS,78.19,broken clouds,4.7717,33.5903,Eastgate Hotel
329,Cayenne,GF,89.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
332,Mecca,SA,87.64,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
335,Coro,VE,88.59,scattered clouds,11.4045,-69.6734,Federal
344,Barra Patuca,HN,84.29,scattered clouds,15.8,-84.2833,
347,Balikpapan,ID,76.46,broken clouds,-1.2675,116.8289,ibis Balikpapan
348,Ipixuna,BR,85.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
349,Port Said,EG,75.18,few clouds,31.2565,32.2841,Aracan Hotel
355,Manokwari,ID,79.16,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
357,Riverton,US,75.43,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
358,Westport,US,80.1,scattered clouds,41.1415,-73.3579,The Westport Inn
361,Banda Aceh,ID,79.3,broken clouds,5.5577,95.3222,Sulthan Hotel International
365,Pattaya,TH,83.32,overcast clouds,12.9333,100.8833,Avani Pattaya Resort
367,Laguna,US,84.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
371,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
373,Bhindar,IN,77.86,scattered clouds,24.5,74.1833,Hotel Rajmahal Bhindar
380,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
381,Bonthe,SL,79.0,moderate rain,7.5264,-12.505,Bonthe Holiday Village
382,Keti Bandar,PK,82.6,clear sky,24.1447,67.4497,Haji laloo memon house
389,Gigmoto,PH,79.88,light rain,13.7796,124.39,Cj's Travellers Inn
394,Majene,ID,77.04,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
395,Sibolga,ID,77.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
396,Rabo De Peixe,PT,75.27,scattered clouds,37.8,-25.5833,Quinta das Giestas
397,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
398,Cancun,MX,86.05,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
399,Puerto Escondido,MX,86.7,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
402,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
403,Fayaoue,NC,76.21,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
404,Les Cayes,HT,80.28,overcast clouds,18.2,-73.75,Villa Orphee
405,Chauk,MM,78.51,few clouds,20.8833,94.8167,Bo Khin Guest House
409,Bhatkal,IN,79.27,heavy intensity rain,13.9667,74.5667,Nilawar Palace
415,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
420,Martin,US,87.96,overcast clouds,27.0837,-80.4164,
421,San Pascual,PH,78.62,overcast clouds,13.7975,121.0342,SM TRAVELODGE
424,Almeirim,BR,85.89,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
426,Nargana,PA,82.4,broken clouds,9.4428,-78.5906,Dubbir
431,Pedasi,PA,83.32,overcast clouds,7.5333,-80.0333,Selina Pedasi
434,Kalabo,ZM,79.65,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
440,Cuamba,MZ,86.86,scattered clouds,-14.8031,36.5372,Hotel Vision
443,Tupiza,BO,75.88,clear sky,-21.45,-65.7167,La Torre Hotel
444,Gushikawa,JP,81.63,few clouds,26.3544,127.8686,Kirari Guest House
446,Trairi,BR,85.75,clear sky,-3.2778,-39.2689,janelas do mar
449,Tucuma,BR,88.36,broken clouds,-0.1833,-50.05,
455,Ibra,OM,78.6,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
458,Sechura,PE,77.31,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
465,Moyale,KE,77.52,broken clouds,3.5167,39.0584,La Tahzan Guest House
466,Carutapera,BR,87.76,scattered clouds,-1.195,-46.02,Lidera
467,Kattivakkam,IN,82.49,clear sky,13.2167,80.3167,Euronova Freezer
468,Salgado,BR,83.1,few clouds,-11.0319,-37.475,Chacara João XXIII
470,Jalu,LY,77.14,clear sky,29.0331,21.5482,صاحبة الفخامة
476,Ciudad Bolivar,VE,87.75,overcast clouds,8.1222,-63.5497,Hotel Edi
478,Nouakchott,MR,85.93,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
479,Neiafu,TO,75.88,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
481,Nioki,CD,77.79,overcast clouds,-2.7167,17.6833,
483,Tagusao,PH,78.39,overcast clouds,9.1924,117.8141,Toledo
484,Yantzaza,EC,80.2,moderate rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
485,Axim,GH,78.64,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
492,Mao,ES,75.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
504,Puerto Rico,AR,75.4,light rain,-26.796,-55.024,Hotel Cabañas del Prado
510,Saraipali,IN,76.66,scattered clouds,21.3333,83.0,UTTAR KUMAR SIDAR
515,Kavieng,PG,80.92,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
516,Iberia,US,88.99,broken clouds,29.9502,-91.7507,back to back rv park
519,Fomboni,KM,76.6,few clouds,-12.28,43.7425,Auberge les abou
521,Muli,MV,82.92,clear sky,2.9167,73.5667,Medhufushi Island Resort
524,Bac Lieu,VN,78.19,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
527,San Joaquin,US,82.96,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
529,Giporlos,PH,77.56,overcast clouds,11.12,125.4494,JR's Pension House
530,Trincomalee,LK,79.83,heavy intensity rain,8.5711,81.2335,Welcombe Hotel
531,Namatanai,PG,79.09,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
533,Atmakur,IN,77.32,scattered clouds,15.8833,78.5833,Mee seva atk
534,Pitimbu,BR,86.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
536,Abonnema,NG,78.21,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
539,Vallenar,CL,79.14,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
540,Ingleside,US,87.98,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
542,Gamba,GA,76.14,broken clouds,-2.65,10.0,
543,Manali,IN,82.49,clear sky,13.1667,80.2667,Sarathy Lodge
550,Conway,US,81.63,few clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
559,Nanakuli,US,78.75,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
560,Fort Wellington,GY,81.84,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
564,Praia,CV,88.34,few clouds,14.9215,-23.5087,LT Aparthotel
574,Sahuaripa,MX,89.94,clear sky,29.05,-109.2333,Estatua de Sahuaripa
577,Andros Town,BS,85.96,few clouds,24.7,-77.7667,Hanks place
579,Nageshwari,BD,78.15,scattered clouds,25.9377,89.7148,Harun Villa
581,Shenjiamen,CN,76.91,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
583,Fremont,US,88.88,clear sky,37.5483,-121.9886,All Suites Islander Motels
590,Gat,IL,77.68,scattered clouds,31.61,34.7642,OlusHome
591,Serowe,BW,75.4,clear sky,-22.3833,26.7167,Hill View Inn
596,Birao,CF,79.38,scattered clouds,10.2849,22.7882,
597,Odienne,CI,79.18,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
605,Kroya,ID,77.2,broken clouds,-7.6331,109.2461,RUSTANTO Fam
607,Mahibadhoo,MV,82.85,few clouds,3.7833,72.9667,Omadhoo Inn
608,Aradippou,CY,77.4,clear sky,34.95,33.5917,Elysso Hotel
610,Meulaboh,ID,75.36,clear sky,4.1363,96.1285,Kost Pria
